QB,Team
Patrick Mahomes,Chiefs
Joe Burrow,Bengals
Josh Allen,Bills
Aaron Rodgers,Jets
Justin Herbert,Chargers 
Jalen Hurts,Eagles 
Lamar Jackson,Ravens 
Trevor Lawrence,Jaguars 
Dak Prescott,Cowboys 
Deshaun Watson,Browns 
Kirk Cousins,Vikings 
Kyler Murray,Cardinals 
Jimmy Garoppolo,Raiders 
Jared Goff,Lions 
Russell Wilson,Broncos 
Tua Tagovailoa,Dolphins 
Daniel Jones,Giants 
Geno Smith,Seahawks 
Justin Fields,Bears 
Ryan Tannehill,Titans 
Mac Jones,Patriots 
Brock Purdy,49ers 
Kenny Pickett,Steelers 
Jordan Love,Packers 
Bryce Young,Panthers 
Sam Howell,Commanders 
Desmond Ridder,Falcons 
C.J. Stroud,Texans 
Baker Mayfield,Buccaneers
Matthew Stafford,Rams
Gardner Minshew,Colts
Derek Carr,Saints
