TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Cardinals,@Bills,Rams,Lions,Commanders,@49eres,@Packers,Chargers,@Dolphins,Bears,Jets,BYE,@Seahawks,@Vickings,Seahawks,Patriots,@Panthers,@Rams,49eres
Falcons,Steelers,@Eagles,Chiefs,Saints,Buccaneers,@Panthers,Seahawks,@Buccaneers,Cowboys,@Saints,@Broncos,BYE,Chargers,@Vickings,@Raiders,Giants,@Commanders,Panthers
Ravens,@Chiefs,Raiders,@Cowboys,Bills,@Bengals,Commanders,@Buccaneers,@Browns,Broncos,Bengals,@Steelers,@Chargers,Eagles,BYE,@Giants,Steelers,@Texans,Browns
Bills,Cardinals,@Dolphins,Jaguars,@Ravens,@Texans,@Jets,Titans,@Seahawks,Dolphins,@Colts,Chiefs,BYE,49eres,@Rams,@Lions,Patriots,Jets,@Patriots
Panthers,@Saints,Chargers,@Raiders,Bengals,@Bears,Falcons,@Commanders,@Broncos,Saints,Giants,BYE,Chiefs,Buccaneers,@Eagles,Cowboys,Cardinals,@Buccaneers,@Falcons
Bears,Titans,@Texans,@Colts,Rams,Panthers,Jaguars,BYE,@Commanders,@Cardinals,Patriots,Packers,Vickings,@Lions,@49eres,@Vickings,Lions,Seahawks,@Packers
Bengals,Patriots,@Chiefs,Commanders,@Panthers,Ravens,@Giants,@Browns,Eagles,Raiders,@Ravens,@Chargers,BYE,Steelers,@Cowboys,@Titans,Browns,Broncos,@Steelers
Browns,Cowboys,@Jaguars,Giants,@Raiders,@Commanders,@Eagles,Bengals,Ravens,Chargers,BYE,@Saints,Steelers,@Broncos,@Steelers,Chiefs,@Bengals,Dolphins,@Ravens
Cowboys,@Browns,Saints,Ravens,@Giants,@Steelers,Lions,BYE,@49eres,@Falcons,Eagles,Texans,@Commanders,Giants,Bengals,@Panthers,Buccaneers,@Eagles,Commanders
Broncos,@Seahawks,Steelers,@Buccaneers,@Jets,Raiders,Chargers,@Saints,Panthers,@Ravens,@Chiefs,Falcons,@Raiders,Browns,BYE,Colts,@Chargers,@Bengals,Chiefs
Lions,Rams,Buccaneers,@Cardinals,Seahawks,BYE,@Cowboys,@Vickings,Titans,@Packers,@Texans,Jaguars,@Colts,Bears,Packers,Bills,@Bears,@49eres,Vickings
Packers,@Eagles,Colts,@Titans,Vickings,@Rams,Cardinals,Texans,@Jaguars,Lions,BYE,@Bears,49eres,Dolphins,@Lions,@Seahawks,Saints,@Vickings,Bears
Texans,@Colts,Bears,@Vickings,Jaguars,Bills,@Patriots,@Packers,Colts,@Jets,Lions,@Cowboys,Titans,@Jaguars,BYE,Dolphins,@Chiefs,Ravens,@Titans
Colts,Texans,@Packers,Bears,Steelers,@Jaguars,@Titans,Dolphins,@Texans,@Vickings,Bills,@Jets,Lions,@Patriots,BYE,@Broncos,Titans,@Giants,Jaguars
Jaguars,@Dolphins,Browns,@Bills,@Texans,Colts,@Bears,Patriots,Packers,@Eagles,Vickings,@Lions,BYE,Texans,@Titans,Jets,@Raiders,Titans,@Colts
Chiefs,Ravens,Bengals,@Falcons,@Chargers,Saints,BYE,@49eres,@Raiders,Buccaneers,Broncos,@Bills,@Panthers,Raiders,Chargers,@Browns,Texans,@Steelers,@Broncos
Raiders,@Chargers,@Ravens,Panthers,Browns,@Broncos,Steelers,@Rams,Chiefs,@Bengals,BYE,@Dolphins,Broncos,@Chiefs,@Buccaneers,Falcons,Jaguars,@Saints,Chargers
Rams,@Lions,@Cardinals,49eres,@Bears,Packers,BYE,Raiders,Vickings,@Seahawks,Dolphins,@Patriots,Eagles,@Saints,Bills,@49eres,@Jets,Cardinals,Seahawks
Chargers,Raiders,@Panthers,@Steelers,Chiefs,BYE,@Broncos,@Cardinals,Saints,@Browns,Titans,Bengals,Ravens,@Falcons,@Chiefs,Buccaneers,Broncos,@Patriots,@Raiders
Dolphins,Jaguars,Bills,@Seahawks,Titans,@Patriots,BYE,@Colts,Cardinals,@Bills,@Rams,Raiders,Patriots,@Packers,Jets,@Texans,49eres,@Browns,@Jets
Vickings,@Giants,49eres,Texans,@Packers,Jets,BYE,Lions,@Rams,Colts,@Jaguars,@Titans,@Bears,Cardinals,Falcons,Bears,@Seahawks,Packers,@Lions
Patriots,@Bengals,Seahawks,@Jets,@49eres,Dolphins,Texans,@Jaguars,Jets,@Titans,@Bears,Rams,@Dolphins,Colts,BYE,@Cardinals,@Bills,Chargers,Bills
Saints,Panthers,@Cowboys,Eagles,@Falcons,@Chiefs,Buccaneers,Broncos,@Chargers,@Panthers,Falcons,Browns,BYE,Rams,@Giants,Commanders,@Packers,Raiders,@Buccaneers
Giants,Vickings,@Commanders,@Browns,Cowboys,@Seahawks,Bengals,Eagles,@Steelers,Commanders,@Panthers,BYE,Buccaneers,@Cowboys,Saints,Ravens,@Falcons,Colts,@Eagles
Jets,@49eres,@Titans,Patriots,Broncos,@Vickings,Bills,@Steelers,@Patriots,Texans,@Cardinals,Colts,BYE,Seahawks,@Dolphins,@Jaguars,Rams,@Bills,Dolphins
Eagles,Packers,Falcons,@Saints,@Buccaneers,BYE,Browns,@Giants,@Bengals,Jaguars,@Cowboys,Commanders,@Rams,@Ravens,Panthers,Steelers,@Commanders,Cowboys,Giants
Steelers,@Falcons,@Broncos,Chargers,@Colts,Cowboys,@Raiders,Jets,Giants,BYE,@Commanders,Ravens,@Browns,@Bengals,Browns,@Eagles,@Ravens,Chiefs,Bengals
49eres,Jets,@Vickings,@Rams,Patriots,Cardinals,@Seahawks,Chiefs,Cowboys,BYE,@Buccaneers,Seahawks,@Packers,@Bills,Bears,Rams,@Dolphins,Lions,@Cardinals
Seahawks,Broncos,@Patriots,Dolphins,@Lions,Giants,49eres,@Falcons,Bills,Rams,BYE,@49eres,Cardinals,@Jets,@Cardinals,Packers,Vickings,@Bears,@Rams
Buccaneers,Commanders,@Lions,Broncos,Eagles,@Falcons,@Saints,Ravens,Falcons,@Chiefs,49eres,BYE,@Giants,@Panthers,Raiders,@Chargers,@Cowboys,Panthers,Saints
Titans,@Bears,Jets,Packers,@Dolphins,BYE,Colts,@Bills,@Lions,Patriots,@Chargers,Vickings,@Texans,@Commanders,Jaguars,Bengals,@Colts,@Jaguars,Texans
Commanders,@Buccaneers,Giants,@Bengals,@Cardinals,Browns,@Ravens,Panthers,Bears,@Giants,Steelers,@Eagles,Cowboys,Titans,BYE,@Saints,Eagles,Falcons,@Cowboys
