Team,FR TD,SFTY,INT TD
"Chiefs
            
          

            Chiefs",2,0,0
"Raiders
            
          

            Raiders",2,1,3
"Vikings
            
          

            Vikings",2,0,0
"Browns
            
          

            Browns",1,0,2
"Cowboys
            
          

            Cowboys",1,1,5
"Broncos
            
          

            Broncos",1,1,0
"Packers
            
          

            Packers",1,0,1
"Texans
            
          

            Texans",1,0,0
"Colts
            
          

            Colts",1,1,3
"Patriots
            
          

            Patriots",1,1,0
"Saints
            
          

            Saints",1,0,1
"Jets
            
          

            Jets",1,3,2
"Eagles
            
          

            Eagles",1,1,2
"Cardinals
            
          

            Cardinals",1,0,0
"Steelers
            
          

            Steelers",1,1,1
"Falcons
            
          

            Falcons",0,1,1
"Ravens
            
          

            Ravens",0,1,1
"Bills
            
          

            Bills",0,0,2
"Panthers
            
          

            Panthers",0,0,2
"Bears
            
          

            Bears",0,0,2
"Bengals
            
          

            Bengals",0,0,1
"Lions
            
          

            Lions",0,1,1
"Titans
            
          

            Titans",0,0,1
"Jaguars
            
          

            Jaguars",0,0,2
"Rams
            
          

            Rams",0,2,0
"Dolphins
            
          

            Dolphins",0,0,4
"Giants
            
          

            Giants",0,0,3
"Chargers
            
          

            Chargers",0,0,0
"49ers
            
          

            49ers",0,1,1
"Seahawks
            
          

            Seahawks",0,0,3
"Buccaneers
            
          

            Buccaneers",0,1,1
"Commanders
            
          

            Commanders",0,0,0
