Team,FF,FR,FR TD,Rec FUM,Rush FUM
"Vikings
            
          

            Vikings",22,11,2,9,7
"Falcons
            
          

            Falcons",19,8,0,3,9
"Broncos
            
          

            Broncos",19,15,1,2,12
"Giants
            
          

            Giants",19,13,0,8,6
"Steelers
            
          

            Steelers",19,11,1,6,8
"Buccaneers
            
          

            Buccaneers",18,12,0,6,8
"Colts
            
          

            Colts",17,9,1,4,7
"Ravens
            
          

            Ravens",16,13,0,3,4
"Eagles
            
          

            Eagles",16,8,1,6,5
"Texans
            
          

            Texans",15,10,1,6,5
"Chiefs
            
          

            Chiefs",15,9,2,6,7
"Dolphins
            
          

            Dolphins",15,12,0,6,5
"Patriots
            
          

            Patriots",15,8,1,3,11
"Chargers
            
          

            Chargers",15,12,0,3,8
"Bills
            
          

            Bills",14,11,0,7,4
"Browns
            
          

            Browns",14,10,1,2,5
"Cowboys
            
          

            Cowboys",14,8,1,5,8
"Raiders
            
          

            Raiders",14,9,2,4,6
"Jets
            
          

            Jets",14,10,1,5,13
"Bears
            
          

            Bears",13,6,0,4,6
"Lions
            
          

            Lions",13,6,0,3,4
"Titans
            
          

            Titans",13,8,0,2,3
"Seahawks
            
          

            Seahawks",13,8,0,5,3
"Jaguars
            
          

            Jaguars",12,11,0,5,4
"Bengals
            
          

            Bengals",11,9,0,4,6
"Packers
            
          

            Packers",10,11,1,1,5
"49ers
            
          

            49ers",10,6,0,6,4
"Commanders
            
          

            Commanders",10,10,0,3,8
"Saints
            
          

            Saints",8,11,1,4,4
"Rams
            
          

            Rams",7,5,0,2,7
"Cardinals
            
          

            Cardinals",6,6,1,2,4
"Panthers
            
          

            Panthers",5,3,0,3,4
