Player,INT,INT TD,INT Yds,Lng
DaRon Bland,9,5,209,63
Geno Stone,7,0,101,36
Jessie Bates,6,1,95,92
Rasul Douglas,5,1,56,40
Derek Stingley Jr.,5,0,17,14
Charvarius Ward,5,1,91,66
Paulson Adebo,4,0,32,27
Julian Blackmon,4,0,39,25
Andre Cisco,4,0,68,29
Tremaine Edmunds,4,1,61,45
Martin Emerson,4,0,25,14
Kyle Hamilton,4,1,25,18
Jaylon Johnson,4,1,65,39
Kerby Joseph,4,0,37,22
Julian Love,4,0,7,7
Tyrann Mathieu,4,1,122,74
Steven Nelson,4,0,33,33
Tyrique Stevenson,4,0,46,34
Cam Taylor-Britt,4,1,65,30
Jalen Thompson,4,0,49,35
Fred Warner,4,0,63,32
Jordan Whitehead,4,0,6,6
Darious Williams,4,1,72,61
Logan Wilson,4,0,42,26
Tony Adams,3,0,50,45
