Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Tylan Wallace,21.2,6,127,1,2,1,76,6,0
Curtis Bolton,17,1,17,0,0,0,17,0,0
Marvin Mims Jr.,16.4,19,312,0,5,2,52,13,1
Derius Davis,16,24,385,1,6,1,87,29,3
Britain Covey,14.4,29,417,0,7,2,54,18,2
Tremon Smith,14,1,14,0,0,0,14,0,0
Rashid Shaheed,13.6,25,339,1,2,1,76,23,0
Christian Kirk,13.5,2,27,0,0,0,15,3,0
Desmond King,12.6,8,101,0,1,0,22,4,1
Devin Duvernay,12.6,23,290,0,4,1,70,20,0
Deonte Harty,12.4,26,323,1,4,1,96,25,2
Steven Sims,12.2,4,49,0,0,0,18,4,0
Gunner Olszewski,11.7,24,281,1,1,1,94,8,3
Elijah Moore,11.5,2,23,0,0,0,13,0,0
Kalif Raymond,11.4,29,331,0,3,1,42,23,1
Rondale Moore,11,1,11,0,0,0,11,3,0
Charlie Jones,10.8,23,248,1,2,1,81,11,0
DeeJay Dallas,10.6,25,265,0,3,0,32,16,2
Josh Downs,10.5,6,63,0,0,0,14,6,0
Parker Washington,10.5,12,126,0,3,0,26,5,1
Jamal Agnew,10.3,14,144,0,1,1,48,9,0
Braxton Berrios,10.2,23,235,0,0,0,19,24,1
Richie James,10,20,200,0,4,0,27,8,2
Trenton Irwin,9.8,10,98,0,2,0,28,5,1
Jaelon Darden,9.8,4,39,0,0,0,11,1,0
